Hydrolab MS5 46008
"Log File Name : Bird_Pond_2022_46008"
"Setup Date (M/D/YYYY) : 6/16/2022"
"Setup Time (HH:MM:SS) : 11:37:49"
"Starting Date (M/D/YYYY) : 6/16/2022"
"Starting Time (HH:MM:SS) : 16:00:00"
"Stopping Date (M/D/YYYY) : 9/15/2022"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO%",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","Sat",""

6/24/2022,03:00:00,"","21.80","","7.37","","87","","14.6","","53.3",""
6/24/2022,04:00:00,"","21.64","","7.40","","87","","14.8","","45.5",""
6/24/2022,05:00:00,"","21.51","","7.39","","87","","15.1","","32.9",""
6/24/2022,06:00:00,"","21.37","","7.53","","87","","14.3","","58.0",""
6/24/2022,07:00:00,"","21.26","","7.54","","86","","14.6","","57.8",""
6/24/2022,08:00:00,"","21.23","","7.51","","86","","21.1","","58.7",""
6/24/2022,09:00:00,"","21.21","","7.63","","87","","14.7","","65.4",""
6/24/2022,10:00:00,"","21.24","","7.53","","86","","15.2","","55.1",""
6/24/2022,11:00:00,"","21.29","","7.54","","86","","15.0","","63.1",""
6/24/2022,12:00:00,"","21.48","","7.63","","87","","15.0","","63.5",""
6/24/2022,13:00:00,"","21.61","","7.64","","87","","15.6","","64.9",""
6/24/2022,14:00:00,"","21.75","","7.64","","87","","15.6","","64.8",""
6/24/2022,15:00:00,"","21.90","","7.64","","87","","15.6","","63.6",""
6/24/2022,16:00:00,"","22.03","","7.61","","87","","15.6","","57.5",""
6/24/2022,17:00:00,"","22.21","","7.63","","87","","15.3","","56.9",""
6/24/2022,18:00:00,"","22.32","","7.59","","87","","15.1","","54.1",""
6/24/2022,19:00:00,"","22.44","","7.61","","88","","16.2","","52.4",""
6/24/2022,20:00:00,"","22.29","","7.55","","87","","16.1","","42.7",""
6/24/2022,21:00:00,"","22.26","","7.47","","87","","16.2","","38.2",""
6/24/2022,22:00:00,"","22.27","","7.65","","87","","14.8","","40.7",""
6/24/2022,23:00:00,"","22.15","","7.47","","87","","15.8","","25.1",""
6/25/2022,00:00:00,"","22.01","","7.63","","87","","15.0","","38.1",""
6/25/2022,01:00:00,"","21.91","","7.37","","87","","14.5","","19.8",""
6/25/2022,02:00:00,"","21.79","","7.64","","87","","14.7","","48.2",""
6/25/2022,03:00:00,"","21.68","","7.35","","87","","14.6","","21.2",""
6/25/2022,04:00:00,"","21.55","","7.51","","87","","14.4","","33.5",""
6/25/2022,05:00:00,"","21.46","","7.45","","87","","15.4","","28.9",""
6/25/2022,06:00:00,"","21.36","","7.48","","87","","15.3","","29.1",""
6/25/2022,07:00:00,"","21.29","","7.46","","87","","15.6","","30.5",""
6/25/2022,08:00:00,"","21.23","","7.40","","87","","15.3","","23.8",""
6/25/2022,09:00:00,"","21.18","","7.41","","87","","15.0","","33.9",""
6/25/2022,10:00:00,"","21.14","","7.35","","87","","15.8","","21.3",""
6/25/2022,11:00:00,"","21.12","","7.38","","87","","15.0","","26.4",""
6/25/2022,12:00:00,"","21.10","","7.54","","87","","15.6","","43.3",""
6/25/2022,13:00:00,"","21.08","","7.52","","87","","15.9","","39.6",""
6/25/2022,14:00:00,"","21.08","","7.50","","87","","15.9","","38.0",""
6/25/2022,15:00:00,"","21.12","","7.60","","87","","15.4","","37.2",""
6/25/2022,16:00:00,"","21.19","","7.60","","87","","14.9","","51.4",""
6/25/2022,17:00:00,"","21.31","","7.61","","87","","15.1","","51.2",""
6/25/2022,18:00:00,"","21.39","","7.60","","87","","16.0","","47.1",""
6/25/2022,19:00:00,"","21.47","","7.60","","87","","16.2","","46.1",""
6/25/2022,20:00:00,"","21.46","","7.58","","88","","15.2","","44.5",""
6/25/2022,21:00:00,"","21.40","","7.55","","88","","30.3","","32.1",""
6/25/2022,22:00:00,"","21.33","","7.61","","87","","31.4","","41.7",""
6/25/2022,23:00:00,"","21.25","","7.44","","86","","31.2","","27.8",""
6/26/2022,00:00:00,"","21.17","","7.49","","86","","30.6","","37.8",""
6/26/2022,01:00:00,"","21.08","","7.59","","86","","30.8","","38.4",""
6/26/2022,02:00:00,"","21.00","","7.35","","86","","31.5","","25.5",""
6/26/2022,03:00:00,"","20.94","","7.52","","86","","29.9","","37.4",""
6/26/2022,04:00:00,"","20.85","","7.42","","86","","29.1","","33.1",""
6/26/2022,05:00:00,"","20.76","","7.46","","86","","30.2","","34.7",""
6/26/2022,06:00:00,"","20.68","","7.45","","86","","30.7","","32.7",""
6/26/2022,07:00:00,"","20.63","","7.49","","86","","31.6","","28.2",""
6/26/2022,08:00:00,"","20.58","","7.36","","86","","31.9","","25.7",""
6/26/2022,09:00:00,"","20.54","","7.47","","86","","31.9","","35.6",""
6/26/2022,10:00:00,"","20.50","","7.36","","85","","29.3","","26.8",""
6/26/2022,11:00:00,"","20.49","","7.40","","86","","32.2","","25.8",""
6/26/2022,12:00:00,"","20.49","","7.47","","86","","32.1","","39.8",""
6/26/2022,13:00:00,"","20.50","","7.53","","86","","31.8","","41.0",""
6/26/2022,14:00:00,"","20.54","","7.51","","86","","3000.0","#","42.9",""
6/26/2022,15:00:00,"","20.70","","7.54","","86","","2471.0","","47.3",""
6/26/2022,16:00:00,"","20.94","","7.54","","86","","2643.0","","45.2",""
6/26/2022,17:00:00,"","21.10","","7.54","","86","","2754.0","","40.9",""
6/26/2022,18:00:00,"","21.25","","7.56","","86","","2793.0","","49.0",""
6/26/2022,19:00:00,"","21.34","","7.50","","86","","2812.0","","36.8",""
6/26/2022,20:00:00,"","21.35","","7.56","","86","","3000.0","#","41.1",""
6/26/2022,21:00:00,"","21.30","","7.52","","86","","3000.0","#","32.5",""
6/26/2022,22:00:00,"","21.20","","7.49","","86","","3000.0","#","39.9",""
6/26/2022,23:00:00,"","21.10","","7.45","","86","","3000.0","#","24.0",""
6/27/2022,00:00:00,"","21.02","","7.18","","86","","3000.0","#","9.5",""
6/27/2022,01:00:00,"","20.92","","7.18","","87","","3000.0","#","14.7",""
6/27/2022,02:00:00,"","20.81","","7.34","","86","","3000.0","#","21.3",""
6/27/2022,03:00:00,"","20.72","","7.27","","86","","3000.0","#","29.6",""
6/27/2022,04:00:00,"","20.62","","7.22","","86","","3000.0","#","19.3",""
6/27/2022,05:00:00,"","20.53","","7.33","","85","","3000.0","#","16.5",""
6/27/2022,06:00:00,"","20.42","","7.47","","86","","3000.0","#","29.8",""
6/27/2022,07:00:00,"","20.36","","7.54","","86","","3000.0","#","30.5",""
6/27/2022,08:00:00,"","20.32","","7.56","","86","","3000.0","#","31.2",""
6/27/2022,09:00:00,"","20.32","","7.42","","86","","3000.0","#","32.3",""
6/27/2022,10:00:00,"","20.29","","7.36","","86","","3000.0","#","20.8",""
6/27/2022,11:00:00,"","20.34","","7.32","","86","","3000.0","#","19.6",""
6/27/2022,12:00:00,"","20.39","","7.43","","86","","3000.0","#","22.3",""
6/27/2022,13:00:00,"","20.45","","7.50","","86","","3000.0","#","32.6",""
6/27/2022,14:00:00,"","20.74","","7.56","","86","","3000.0","#","32.5",""
6/27/2022,15:00:00,"","21.14","","7.54","","86","","3000.0","#","30.7",""
6/27/2022,16:00:00,"","21.29","","7.56","","86","","3000.0","#","30.2",""
6/27/2022,17:00:00,"","21.44","","7.58","","86","","3000.0","#","32.1",""
6/27/2022,18:00:00,"","21.48","","7.57","","86","","3000.0","#","24.4",""
6/27/2022,19:00:00,"","21.27","","7.54","","86","","3000.0","#","23.7",""
6/27/2022,20:00:00,"","21.31","","7.55","","85","","3000.0","#","25.2",""
6/27/2022,21:00:00,"","21.70","","7.44","","87","","3000.0","#","18.0",""
6/27/2022,22:00:00,"","21.61","","7.38","","86","","3000.0","#","17.5",""
6/27/2022,23:00:00,"","21.41","","7.35","","86","","3000.0","#","16.8",""
6/28/2022,00:00:00,"","21.31","","7.33","","86","","3000.0","#","20.4",""
6/28/2022,01:00:00,"","21.20","","7.20","","86","","3000.0","#","22.3",""
6/28/2022,02:00:00,"","21.06","","7.14","","86","","3000.0","#","17.3",""
6/28/2022,03:00:00,"","20.91","","7.46","","85","","3000.0","#","18.5",""
6/28/2022,04:00:00,"","20.80","","7.44","","86","","3000.0","#","19.7",""
6/28/2022,05:00:00,"","20.69","","7.13","","86","","3000.0","#","11.9",""
6/28/2022,06:00:00,"","20.62","","7.23","","86","","3000.0","#","16.3",""
6/28/2022,07:00:00,"","20.54","","7.35","","86","","3000.0","#","13.9",""
6/28/2022,08:00:00,"","20.54","","7.32","","86","","3000.0","#","18.0",""
6/28/2022,09:00:00,"","20.54","","7.38","","86","","3000.0","#","18.8",""
6/28/2022,10:00:00,"","20.57","","7.42","","85","","3000.0","#","21.8",""
6/28/2022,11:00:00,"","20.70","","7.55","","85","","3000.0","#","24.5",""
6/28/2022,12:00:00,"","20.85","","7.51","","85","","3000.0","#","21.5",""
6/28/2022,13:00:00,"","20.99","","7.54","","85","","3000.0","#","22.9",""
6/28/2022,14:00:00,"","21.18","","7.54","","86","","3000.0","#","22.1",""
6/28/2022,15:00:00,"","21.43","","7.59","","86","","3000.0","#","24.5",""
6/28/2022,16:00:00,"","21.75","","7.61","","85","","3000.0","#","25.0",""
6/28/2022,17:00:00,"","21.89","","7.59","","86","","3000.0","#","19.1",""
6/28/2022,18:00:00,"","21.68","","7.54","","85","","3000.0","#","23.2",""
6/28/2022,19:00:00,"","21.71","","7.57","","86","","3000.0","#","22.0",""
