"source","sample_name","lab_dup","field_sample_date","lab_analysis_date","parameter","val_ppb","detection_note","strata","waterbody"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"cft_6",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"rotenone_ppb",15.62,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"rotenolone_ppb",11.77,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"deguelin_ppb",10.28,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"cft_5",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","b",2021-11-10,2021-11-12,"cft_6",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"rotenone_ppb",2.03,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"rotenolone_ppb",5.52,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"deguelin_ppb",1.01,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"cft_5",0,"Not_Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","a",2021-11-10,2021-11-12,"cft_6",0,"Not_Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"rotenone_ppb",1.99,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"rotenolone_ppb",4.99,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"deguelin_ppb",1.06,NA,"Creek","Miller_Creek"
