date,time,parameter2
3.07.2021,3:30,15.8
3.07.2021,3:45,15.8
3.07.2021,4:00,15.7
3.07.2021,4:15,15.7
3.07.2021,4:30,15.6
3.07.2021,4:45,15.6
3.07.2021,5:00,15.6
3.07.2021,5:15,15.5
3.07.2021,5:30,15.5
3.07.2021,5:45,15.5
3.07.2021,6:00,15.4
3.07.2021,6:15,15.4
3.07.2021,6:30,15.4
3.07.2021,6:45,15.3
3.07.2021,7:00,15.3
3.07.2021,7:15,15.3
3.07.2021,7:30,15.3
3.07.2021,7:45,15.2
3.07.2021,8:00,15.2
3.07.2021,8:15,15.2
3.07.2021,8:30,15.1
3.07.2021,8:45,15.1
3.07.2021,9:00,15.1
3.07.2021,9:15,15.1
3.07.2021,9:30,15.1
3.07.2021,9:45,15
3.07.2021,10:00,15
3.07.2021,10:15,15
3.07.2021,10:30,15
3.07.2021,10:45,15
3.07.2021,11:00,15
3.07.2021,11:15,15
3.07.2021,11:30,15
3.07.2021,11:45,15
3.07.2021,12:00,15
3.07.2021,12:15,15
3.07.2021,12:30,15
3.07.2021,12:45,15
3.07.2021,13:00,15
3.07.2021,13:15,15.1
3.07.2021,13:30,15.1
3.07.2021,13:45,15.1
3.07.2021,14:00,15.1
3.07.2021,14:15,15.1
3.07.2021,14:30,15.1
3.07.2021,14:45,15.1
3.07.2021,15:00,15.1
3.07.2021,15:15,15.1
3.07.2021,15:30,15.1
3.07.2021,15:45,15.1
3.07.2021,16:00,15.1
3.07.2021,16:15,15.1
3.07.2021,16:30,15.1
3.07.2021,16:45,15.1
3.07.2021,17:00,15.1
3.07.2021,17:15,15.1
3.07.2021,17:30,15.2
3.07.2021,17:45,15.2
3.07.2021,18:00,15.2
3.07.2021,18:15,15.2
3.07.2021,18:30,15.2
3.07.2021,18:45,15.2
3.07.2021,19:00,15.2
3.07.2021,19:15,15.2
3.07.2021,19:30,15.2
3.07.2021,19:45,15.3
3.07.2021,20:00,15.3
3.07.2021,20:15,15.3
3.07.2021,20:30,15.3
3.07.2021,20:45,15.2
3.07.2021,21:00,15.2
3.07.2021,21:15,15.2
3.07.2021,21:30,15.2
3.07.2021,21:45,15.2
3.07.2021,22:00,15.2
3.07.2021,22:15,15.2
