Mini Sonde 5 64819
"Log File Name : Vogel_Lake_64819"
"Setup Date (M/D/YYYY) : 5/27/2021"
"Setup Time (HH:MM:SS) : 10:24:42"
"Starting Date (M/D/YYYY) : 5/27/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2021"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l","","%Left",""

5/29/2021,20:00:00,"","12.87","","7.31","","74","","0.0","","9.55","","0",""
5/29/2021,20:15:00,"","12.82","","7.29","","74","","0.0","","9.60","","0",""
5/29/2021,20:30:00,"","12.77","","7.27","","74","","0.0","","9.47","","0",""
5/29/2021,20:45:00,"","12.75","","7.28","","74","","0.0","","9.57","","0",""
5/29/2021,21:00:00,"","12.70","","7.26","","74","","0.0","","9.45","","0",""
5/29/2021,21:15:00,"","12.70","","7.28","","74","","0.0","","9.55","","0",""
5/29/2021,21:30:00,"","12.62","","7.28","","74","","0.0","","9.40","","0",""
5/29/2021,21:45:00,"","12.62","","7.29","","74","","0.0","","9.51","","0",""
5/29/2021,22:00:00,"","12.56","","7.23","","74","","0.0","","9.51","","0",""
5/29/2021,22:15:00,"","12.53","","7.31","","74","","0.0","","9.49","","0",""
5/29/2021,22:30:00,"","12.50","","7.29","","74","","0.0","","9.51","","0",""
5/29/2021,22:45:00,"","12.46","","7.29","","74","","0.0","","9.48","","0",""
5/29/2021,23:00:00,"","12.43","","7.29","","74","","0.0","","9.50","","0",""
5/29/2021,23:15:00,"","12.38","","7.33","","74","","0.0","","9.46","","0",""
5/29/2021,23:30:00,"","12.33","","7.29","","74","","0.0","","9.47","","0",""
5/29/2021,23:45:00,"","12.30","","7.29","","74","","0.0","","9.50","","0",""
5/30/2021,00:00:00,"","12.25","","7.29","","74","","0.0","","9.50","","0",""
5/30/2021,00:15:00,"","12.21","","7.28","","74","","0.0","","9.49","","0",""
5/30/2021,00:30:00,"","12.18","","7.27","","74","","0.0","","9.49","","0",""
5/30/2021,00:45:00,"","12.14","","7.26","","74","","0.0","","9.49","","0",""
5/30/2021,01:00:00,"","12.09","","7.26","","74","","0.0","","9.48","","0",""
5/30/2021,01:15:00,"","12.07","","7.27","","74","","0.0","","9.51","","0",""
5/30/2021,01:30:00,"","12.04","","7.29","","74","","0.0","","9.55","","0",""
5/30/2021,01:45:00,"","12.01","","7.28","","74","","0.0","","9.54","","0",""
5/30/2021,02:00:00,"","11.97","","7.27","","74","","0.0","","9.60","","0",""
5/30/2021,02:15:00,"","11.93","","7.29","","74","","0.0","","9.57","","0",""
5/30/2021,02:30:00,"","11.87","","7.29","","74","","0.0","","9.53","","0",""
5/30/2021,02:45:00,"","11.85","","7.30","","73","","0.0","","9.60","","0",""
5/30/2021,03:00:00,"","11.83","","7.32","","73","","0.0","","9.61","","0",""
5/30/2021,03:15:00,"","11.78","","7.33","","74","","0.0","","9.60","","0",""
5/30/2021,03:30:00,"","11.76","","7.30","","74","","0.0","","9.59","","0",""
5/30/2021,03:45:00,"","11.70","","7.31","","74","","0.0","","9.62","","0",""
5/30/2021,04:00:00,"","11.69","","7.32","","74","","0.0","","9.62","","0",""
5/30/2021,04:15:00,"","11.65","","7.28","","74","","0.0","","9.64","","0",""
5/30/2021,04:30:00,"","11.60","","7.32","","74","","0.0","","9.65","","0",""
5/30/2021,04:45:00,"","11.57","","7.31","","74","","0.0","","9.67","","0",""
5/30/2021,05:00:00,"","11.53","","7.32","","74","","0.0","","9.63","","0",""
5/30/2021,05:15:00,"","11.44","","7.33","","74","","0.0","","9.74","","0",""
5/30/2021,05:30:00,"","11.39","","7.33","","74","","0.0","","9.68","","0",""
5/30/2021,05:45:00,"","11.29","","7.28","","74","","0.0","","9.65","","0",""
5/30/2021,06:00:00,"","11.34","","7.32","","74","","0.0","","9.75","","0",""
5/30/2021,06:15:00,"","11.30","","7.29","","74","","0.0","","9.71","","0",""
5/30/2021,06:30:00,"","11.27","","7.32","","74","","0.0","","9.80","","0",""
5/30/2021,06:45:00,"","11.23","","7.33","","74","","0.0","","9.81","","0",""
5/30/2021,07:00:00,"","11.22","","7.35","","74","","0.0","","9.84","","0",""
5/30/2021,07:15:00,"","11.16","","7.33","","74","","0.0","","9.77","","0",""
5/30/2021,07:30:00,"","11.18","","7.31","","74","","0.0","","9.86","","0",""
5/30/2021,07:45:00,"","11.16","","7.34","","74","","0.0","","9.86","","0",""
5/30/2021,08:00:00,"","11.16","","7.34","","74","","0.0","","9.95","","0",""
5/30/2021,08:15:00,"","11.15","","7.38","","74","","0.0","","9.95","","0",""
5/30/2021,08:30:00,"","11.14","","7.38","","74","","0.0","","9.98","","0",""
5/30/2021,08:45:00,"","11.12","","7.35","","74","","0.0","","9.95","","0",""
5/30/2021,09:00:00,"","11.13","","7.33","","75","","0.0","","10.01","","0",""
5/30/2021,09:15:00,"","11.13","","7.38","","74","","0.0","","10.04","","0",""
5/30/2021,09:30:00,"","11.12","","7.39","","74","","0.0","","10.03","","0",""
5/30/2021,09:45:00,"","11.11","","7.39","","74","","0.0","","10.07","","0",""
5/30/2021,10:00:00,"","11.10","","7.40","","75","","0.0","","10.15","","0",""
5/30/2021,10:15:00,"","11.13","","7.39","","75","","0.0","","10.10","","0",""
5/30/2021,10:30:00,"","11.15","","7.39","","75","","0.0","","10.15","","0",""
5/30/2021,10:45:00,"","11.16","","7.39","","74","","0.0","","10.16","","0",""
5/30/2021,11:00:00,"","11.16","","7.40","","74","","0.0","","10.19","","0",""
5/30/2021,11:15:00,"","11.17","","7.40","","75","","0.0","","10.20","","0",""
5/30/2021,11:30:00,"","11.18","","7.40","","75","","0.0","","10.23","","0",""
5/30/2021,11:45:00,"","11.18","","7.40","","75","","0.0","","10.23","","0",""
5/30/2021,12:00:00,"","11.21","","7.44","","75","","0.0","","10.28","","0",""
5/30/2021,12:15:00,"","11.23","","7.42","","75","","0.0","","10.28","","0",""
